tract_fips,census_tract_area,count_ntm_stops,tot_pop_2010,stops_per_capita,stops_per_sqmile
"01001020100",3.788,0,1812,0,0
"01001020200",1.29,0,2218,0,0
"01001020300",2.065,0,3155,0,0
"01001020400",2.464,0,4337,0,0
"01001020500",4.401,0,10498,0,0
"01001020600",3.097,0,3490,0,0
"01001020700",8.652,0,2889,0,0
"01001020801",47.986,0,3192,0,0
"01001020802",73.673,0,10736,0,0
"01001020900",113.034,0,5678,0,0
"01001021000",149.366,0,3011,0,0
"01001021100",184.622,0,3574,0,0
"01003010100",375.112,0,3188,0,0
"01003010200",85.615,0,2737,0,0
"01003010300",132.713,0,6585,0,0
"01003010400",284.639,0,4647,0,0
"01003010500",6.749,0,4583,0,0
"01003010600",7.168,0,3661,0,0
"01003010701",41.969,0,7995,0,0
"01003010703",55.693,0,14304,0,0
"01003010704",3.244,0,4989,0,0
"01003010705",6.741,0,8952,0,0
"01003010800",6.981,0,7394,0,0
"01003010903",21.461,0,5473,0,0
"01003010904",106.61,0,6790,0,0
"01003010905",27.456,0,7562,0,0
"01003010906",15.201,0,4227,0,0
"01003011000",50.365,0,4137,0,0
"01003011101",12.943,0,9220,0,0
"01003011102",17.518,0,3945,0,0
"01003011201",4.774,0,4188,0,0
"01003011202",5.25,0,4846,0,0
"01003011300",25.353,0,4329,0,0
"01003011401",63.611,0,10702,0,0
"01003011403",32.918,0,8578,0,0
"01003011405",5.982,0,3876,0,0
"01003011406",13.181,0,3677,0,0
"01003011407",13.011,0,4955,0,0
"01003011408",10.571,0,667,0,0
"01003011501",14.904,0,5297,0,0
"01003011502",20.045,0,10127,0,0
"01003011601",90.551,0,6212,0,0
"01003011602",31.457,0,5383,0,0
"01005950100",187.361,0,3627,0,0
"01005950200",199.617,0,4309,0,0
"01005950300",136.221,0,1836,0,0
"01005950400",132.551,0,4137,0,0
"01005950500",128.843,0,3513,0,0
"01005950600",39.266,0,1917,0,0
"01005950700",49.113,0,1672,0,0
"01005950800",5.649,0,2197,0,0
"01005950900",6.255,0,4261,0,0
"01007010001",90.985,0,2992,0,0
"01007010002",69.739,0,6099,0,0
"01007010003",267.103,0,5005,0,0
"01007010004",194.756,0,8673,0,0
"01009050101",83.077,0,7919,0,0
"01009050102",71.23,0,6994,0,0
"01009050200",45.22,0,3731,0,0
"01009050300",73.189,0,5638,0,0
"01009050400",94.765,0,4687,0,0
"01009050500",96.031,0,6852,0,0
"01009050601",32.371,0,3968,0,0
"01009050602",70.243,0,8712,0,0
"01009050700",78.65,0,8965,0,0
"01011952100",165.34,0,1663,0,0
"01011952200",153.859,0,6050,0,0
"01011952500",303.606,0,3066,0,0
"01013952700",51.655,0,2553,0,0
"01013952800",1.333,0,1526,0,0
"01013952900",22.184,0,2091,0,0
"01013953000",170.456,0,1275,0,0
"01013953100",12.43,0,2924,0,0
"01013953200",184.823,0,4136,0,0
"01013953300",135.997,0,1865,0,0
"01013953400",95.871,0,2683,0,0
"01013953500",102.08,0,1677,0,0
"01015000200",2.625,0,3606,0,0
"01015000300",1.012,0,2835,0,0
"01015000400",3.912,0,2767,0,0
"01015000500",.905,0,1794,0,0
"01015000600",2.623,0,2177,0,0
"01015000700",17.682,0,2982,0,0
"01015000800",1.407,0,1299,0,0
"01015000900",4.678,0,3228,0,0
"01015001000",6.438,0,5428,0,0
"01015001100",18.784,0,6439,0,0
"01015001201",2.827,0,3473,0,0
"01015001202",9.081,0,4017,0,0
"01015001300",2.248,0,2393,0,0
"01015001400",8.206,0,3625,0,0
"01015001500",21.046,0,5126,0,0
"01015001600",5.465,0,3864,0,0
"01015001700",7.213,0,6546,0,0
"01015001800",15.88,0,6423,0,0
"01015002000",92.408,0,7499,0,0
"01015002101",5.286,0,3965,0,0
"01015002102",7.968,0,3069,0,0
"01015002103",9.749,0,7044,0,0
"01015002200",33.939,0,3740,0,0
"01015002300",34.172,0,3728,0,0
"01015002400",48.082,0,4546,0,0
"01015002501",37.547,0,7095,0,0
"01015002502",63.326,0,4559,0,0
"01015002600",68.317,0,4488,0,0
"01015981901",24.341,0,4,0,0
"01015981902",34.769,0,75,0,0
"01015981903",13.93,0,0,,0
"01017953800",199.174,0,3544,0,0
"01017953900",37.968,0,3207,0,0
"01017954000",260.997,0,6251,0,0
"01017954200",24.263,0,3847,0,0
"01017954300",51.317,0,4262,0,0
"01017954400",1.702,0,780,0,0
"01017954500",2.683,0,3769,0,0
"01017954600",3.741,0,3757,0,0
"01017954700",14.687,0,4811,0,0
"01019955701",40.039,0,3491,0,0
"01019955702",136.495,0,4813,0,0
"01019955800",90.221,0,4684,0,0
"01019955900",118.898,0,4264,0,0
"01019956000",24.013,0,4110,0,0
"01019956100",144.034,0,4555,0,0
"01021060101",21.583,0,5081,0,0
"01021060102",24.869,0,5695,0,0
"01021060200",38.056,0,2869,0,0
"01021060300",104.922,0,3985,0,0
"01021060401",35.229,0,5762,0,0
"01021060402",94.359,0,8942,0,0
"01021060500",174.175,0,3049,0,0
"01021060600",100.663,0,3211,0,0
"01021060700",98.998,0,5017,0,0
"01023956700",222.956,0,2904,0,0
"01023956800",290.552,0,4514,0,0
"01023956900",223.375,0,4124,0,0
"01023957000",176.617,0,2296,0,0
"01025957500",96.142,0,1475,0,0
"01025957601",189.057,0,1012,0,0
"01025957602",74.666,0,5273,0,0
"01025957700",142.925,0,1598,0,0
"01025957800",321.521,0,5246,0,0
"01025957901",145.125,0,3858,0,0
"01025957902",41.65,0,4183,0,0
"01025958001",54.718,0,1331,0,0
"01025958002",172.661,0,1792,0,0
"01027958900",198.094,0,5249,0,0
"01027959000",69.344,0,3136,0,0
"01027959100",147.902,0,3018,0,0
"01027959200",188.621,0,2425,0,0
"01029959500",189.789,0,2135,0,0
"01029959600",94.137,0,3826,0,0
"01029959700",161.725,0,3916,0,0
"01029959800",114.449,0,5028,0,0
"01031010100",93.801,0,2112,0,0
"01031010200",80.392,0,1960,0,0
"01031010300",112.956,0,4871,0,0
"01031010400",81.201,0,2082,0,0
"01031010500",77.513,0,4611,0,0
"01031010600",49.449,0,1535,0,0
"01031010700",82.445,0,2167,0,0
"01031010800",52.903,0,2535,0,0
"01031010900",7.822,0,2317,0,0
"01031011000",11.079,0,3677,0,0
"01031011100",1.272,0,1748,0,0
"01031011201",15.711,0,7956,0,0
"01031011202",4.838,0,8404,0,0
"01031011300",7.592,0,3991,0,0
"01033020100",1.688,0,3611,0,0
"01033020200",.832,0,1880,0,0
"01033020300",2.013,0,1865,0,0
"01033020400",2.031,0,1564,0,0
"01033020500",9.116,0,5084,0,0
"01033020600",3.808,0,4055,0,0
"01033020701",43.586,0,5757,0,0
"01033020703",3.143,0,5129,0,0
"01033020704",2.807,0,4496,0,0
"01033020801",45.93,0,5082,0,0
"01033020802",83.107,0,3647,0,0
"01033020901",51.361,0,4241,0,0
"01033020902",100.066,0,3997,0,0
"01033021000",243.131,0,4043,0,0
"01035960200",217.799,0,1788,0,0
"01035960300",151.166,0,2154,0,0
"01035960400",185.428,0,3300,0,0
"01035960500",35.125,0,1833,0,0
"01035960600",260.639,0,4113,0,0
"01037961000",97.057,0,4135,0,0
"01037961100",302.952,0,3884,0,0
"01037961200",250.917,0,3286,0,0
"01039961600",138.775,0,3611,0,0
"01039961700",194.621,0,4048,0,0
"01039961800",17.004,0,2738,0,0
"01039961900",15.994,0,2649,0,0
"01039962000",19.281,0,3437,0,0
"01039962100",5.961,0,2357,0,0
"01039962300",107.684,0,2896,0,0
"01039962400",59.72,0,3610,0,0
"01039962500",4.834,0,1831,0,0
"01039962600",4.604,0,1409,0,0
"01039962700",5.036,0,1600,0,0
"01039962800",96.455,0,1542,0,0
"01039962900",204.821,0,1785,0,0
"01039963000",155.666,0,4290,0,0
"01041963400",92.208,0,1822,0,0
"01041963500",87.412,0,1535,0,0
"01041963600",144.478,0,3441,0,0
"01041963700",99.49,0,3785,0,0
"01041963800",105.683,0,1871,0,0
"01041963900",79.568,0,1517,0,0
"01043964100",56.833,0,5079,0,0
"01043964200",59.561,0,7161,0,0
"01043964300",34.691,0,4746,0,0
"01043964400",29.585,0,3787,0,0
"01043964500",83.366,0,4333,0,0
"01043964600",51.302,0,3840,0,0
"01043964700",27.38,0,4641,0,0
"01043964800",3.62,0,4263,0,0
"01043964900",18.367,0,6154,0,0
"01043965000",9.054,0,6687,0,0
"01043965100",20.948,0,3722,0,0
"01043965200",21.519,0,2521,0,0
"01043965300",54.112,0,5064,0,0
"01043965401",24.437,0,3300,0,0
"01043965402",48.549,0,4206,0,0
"01043965500",72.306,0,5998,0,0
"01043965600",43.824,0,2277,0,0
"01043965700",75.387,0,2624,0,0
"01045020000",66.532,0,5254,0,0
"01045020100",140.721,0,3474,0,0
"01045020200",95.685,0,2146,0,0
"01045020300",42.85,0,2179,0,0
"01045020400",23.911,0,2631,0,0
"01045020500",4.337,0,1868,0,0
"01045020700",4.712,0,3135,0,0
"01045020801",7.419,0,3652,0,0
"01045020802",13.956,0,4252,0,0
"01045021101",13.135,0,4630,0,0
"01045021102",8.897,0,4386,0,0
"01045021200",38.861,0,2544,0,0
"01045021300",57.282,0,3918,0,0
"01045021400",42.853,0,6060,0,0
"01047956100",122.813,0,6528,0,0
"01047956201",48.42,0,2502,0,0
"01047956202",70.367,0,2341,0,0
"01047956300",6.779,0,3046,0,0
"01047956400",1.59,0,3586,0,0
"01047956500",2.623,0,4308,0,0
"01047956600",1.047,0,4054,0,0
"01047956701",2.822,0,2055,0,0
"01047956702",2.45,0,1340,0,0
"01047956800",3.584,0,2037,0,0
"01047956900",208.935,0,2896,0,0
"01047957000",348.006,0,1350,0,0
"01047957100",79.177,0,1311,0,0
"01047957200",13.24,0,2275,0,0
"01047957300",66.842,0,3943,0,0
"01049960100",78.335,0,6999,0,0
"01049960200",44.101,0,3882,0,0
"01049960300",41.863,0,6893,0,0
"01049960400",53.021,0,6329,0,0
"01049960500",82.718,0,5965,0,0
"01049960600",82.77,0,5917,0,0
"01049960700",58.441,0,8223,0,0
"01049960800",79.878,0,5087,0,0
"01049960900",50.961,0,3630,0,0
"01049961000",45.09,0,4165,0,0
"01049961100",13.088,0,2943,0,0
"01049961200",16.891,0,2000,0,0
"01049961300",35.279,0,5404,0,0
"01049961400",94.657,0,3512,0,0
"01051030100",63.56,0,9959,0,0
"01051030200",108.415,0,4650,0,0
"01051030300",46.25,0,2445,0,0
"01051030400",122.346,0,8026,0,0
"01051030500",63.835,0,4423,0,0
"01051030600",50.544,0,7863,0,0
"01051030701",35.766,0,6172,0,0
"01051030702",40.82,0,3802,0,0
"01051030800",20.87,0,6062,0,0
"01051030901",10.468,0,6188,0,0
"01051030902",11.011,0,3940,0,0
"01051031000",9.083,0,5914,0,0
"01051031100",4.074,0,4845,0,0
"01051031200",19.104,0,1612,0,0
"01051031300",12.336,0,3429,0,0
